n_estimators,max_depth,min_samples_split,class_weight,ROC_AUC,Balanced_Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1,TN,FP,FN,TP
200,,5,balanced,0.8200640499142637,0.566398651277396,0.84375,0.8909438775510204,0.13636363636363635,0.9964336661911555,0.23478260869565218,0.9407407407407408,27,171,5,1397
200,,2,,0.8193039525065202,0.5537723886511333,0.8148148148148148,0.8881118881118881,0.1111111111111111,0.9964336661911555,0.19555555555555557,0.9391596638655462,22,176,5,1397
100,10.0,5,balanced,0.8180341215291287,0.6490475367080217,0.8133333333333334,0.9101639344262296,0.30808080808080807,0.9900142653352354,0.4468864468864469,0.9484113426716775,61,137,14,1388
400,,2,,0.8168021153042551,0.5591795270825228,0.8571428571428571,0.8893129770992366,0.12121212121212122,0.9971469329529244,0.21238938053097345,0.9401479488903833,24,174,4,1398
100,,2,,0.816168100404905,0.5487218836006282,0.8,0.886984126984127,0.10101010101010101,0.9964336661911555,0.17937219730941703,0.9385287201881088,20,178,5,1397
400,10.0,5,balanced,0.8161356791884609,0.6396597933687805,0.8260869565217391,0.9079033311561071,0.2878787878787879,0.9914407988587732,0.42696629213483145,0.947834981247869,57,141,12,1390
200,10.0,2,balanced_subsample,0.8160600296834246,0.6382044409861813,0.8615384615384616,0.9074918566775244,0.2828282828282828,0.9935805991440799,0.42585551330798477,0.9485869935308138,56,142,9,1393
200,5.0,2,balanced_subsample,0.8159627660340928,0.7932643121658813,0.45307443365695793,0.9550735863671572,0.7070707070707071,0.8794579172610556,0.5522682445759369,0.915707389528407,140,58,169,1233
200,5.0,5,balanced_subsample,0.8159303448176486,0.7896691594979754,0.44694533762057875,0.9542280837858805,0.702020202020202,0.8773181169757489,0.5461689587426326,0.9141583054626533,139,59,172,1230
200,10.0,5,balanced,0.8158835141716739,0.6461656508018847,0.8,0.9095081967213114,0.30303030303030304,0.9893009985734664,0.43956043956043955,0.9477280491971302,60,138,15,1387
100,10.0,5,balanced_subsample,0.8158366835256994,0.6404018789896109,0.7733333333333333,0.9081967213114754,0.29292929292929293,0.9878744650499287,0.4249084249084249,0.9463614622480355,58,140,17,1385
200,5.0,2,balanced,0.8152783181313852,0.7939775789276502,0.4560260586319218,0.9551430781129157,0.7070707070707071,0.8808844507845934,0.5544554455445545,0.9165120593692022,140,58,167,1235
200,5.0,5,balanced,0.8149036729635875,0.7929076787849969,0.45161290322580644,0.9550387596899225,0.7070707070707071,0.8787446504992867,0.5511811023622047,0.9153046062407132,140,58,170,1232
400,5.0,5,balanced_subsample,0.8148712517471433,0.7882138071153764,0.4495114006514658,0.9535962877030162,0.696969696969697,0.8794579172610556,0.5465346534653466,0.9150278293135437,138,60,169,1233
400,5.0,2,balanced_subsample,0.8148244211011686,0.7889270738771452,0.4524590163934426,0.9536679536679536,0.696969696969697,0.8808844507845934,0.5487077534791253,0.9158324063774564,138,60,167,1235
100,10.0,2,balanced_subsample,0.8147847951699593,0.6299154166486549,0.828125,0.9055989583333334,0.2676767676767677,0.9921540656205421,0.40458015267175573,0.9469026548672567,53,145,11,1391
400,10.0,2,balanced_subsample,0.8145434372253203,0.6407296935114339,0.8636363636363636,0.9080834419817471,0.2878787878787879,0.9935805991440799,0.4318181818181818,0.9489100817438693,57,141,9,1393
400,5.0,2,balanced,0.8143056816380639,0.7910668741624519,0.46153846153846156,0.9538816295157571,0.696969696969697,0.8851640513552068,0.5553319919517102,0.9182389937106918,138,60,161,1241
400,10.0,5,balanced_subsample,0.8142876698511505,0.6497608034697906,0.8356164383561644,0.9102815979043877,0.30808080808080807,0.9914407988587732,0.45018450184501846,0.9491293956981905,61,137,12,1390
100,,5,,0.8142570498133977,0.5591795270825228,0.8571428571428571,0.8893129770992366,0.12121212121212122,0.9971469329529244,0.21238938053097345,0.9401479488903833,24,174,4,1398
400,5.0,5,balanced,0.814240839205176,0.7910668741624519,0.46153846153846156,0.9538816295157571,0.696969696969697,0.8851640513552068,0.5553319919517102,0.9182389937106918,138,60,161,1241
100,,5,balanced,0.8142246285969538,0.5638733987521434,0.8387096774193549,0.8903760356915232,0.13131313131313133,0.9964336661911555,0.22707423580786026,0.9404240996297543,26,172,5,1397
100,,5,balanced_subsample,0.8140499142638943,0.5667552846582804,0.8709677419354839,0.8910133843212237,0.13636363636363635,0.9971469329529244,0.23580786026200873,0.9410972736452373,27,171,4,1398
200,10.0,2,balanced,0.8139490482571794,0.6353225550800443,0.8461538461538461,0.9068403908794789,0.2777777777777778,0.992867332382311,0.41825095057034223,0.947906026557712,55,143,10,1392
400,,2,balanced,0.8136554561304917,0.5216573725846194,0.75,0.8809823677581864,0.045454545454545456,0.9978601997146933,0.08571428571428572,0.9357859531772575,9,189,3,1399
