"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
0.1,1,10,50,0.817040757143236,0.0114976318797975,1,0.0114492552967852,0.00531449414632822,0
0.1,2,10,50,0.815743822511811,0.127951984321411,0.998739225273879,0.0150945798528195,0.0367511883217428,0.000805609247299493
0.1,3,10,50,0.82016257166191,0.186771190592847,0.997658468549558,0.0114531967268922,0.0270836178414503,0.00136628434505876
0.1,4,10,50,0.81903620833699,0.207161522129675,0.997117765830637,0.00852484859465011,0.0209327850403739,0.00195355560583404
0.1,5,10,50,0.820861446791951,0.232745386248571,0.996937910007217,0.012570095953399,0.0355054861989712,0.00175622135766599
0.1,1,10,100,0.826029232258342,0.117679242201535,0.999099261277479,0.0120600039435497,0.0302784941586496,0.000900900973888459
0.1,2,10,100,0.822872011048053,0.291654417769067,0.997658306371178,0.0125054342857373,0.0488264883560381,0.00150754437333021
0.1,3,10,100,0.824063315755944,0.351657684141761,0.996577711825237,0.0107020415762577,0.0285390026477527,0.00117488087131548
0.1,4,10,100,0.820097914759894,0.351641352278295,0.994956576738755,0.00949492922412727,0.00784426899981641,0.00186854028316261
0.1,5,10,100,0.823723470540176,0.368324350808427,0.995316450563975,0.0113099405950037,0.0418282167757935,0.00161287269322198
0.1,1,10,150,0.826819298916795,0.202074146660134,0.998198684733338,0.0108820917481369,0.024791999381587,0.00168553976785251
0.1,2,10,150,0.822665711901381,0.358067940552017,0.996217351464876,0.0115922402806892,0.0418567969521997,0.00215124557903087
0.1,3,10,150,0.822466122468014,0.397672709456149,0.994416198376594,0.0118994374599559,0.0376570483179331,0.00173367787437544
0.1,4,10,150,0.820338690436439,0.395108606892046,0.992614558753173,0.0096099119696907,0.0328714888311093,0.00273419939318238
0.1,5,10,150,0.822747494832378,0.3875061244488,0.993515297475694,0.00991976896916353,0.0321216217254457,0.00215207838204933
0.1,1,10,200,0.826915755283038,0.280058794708476,0.997838486551358,0.00973809514562116,0.0507205471324536,0.00175613788112048
0.1,2,10,200,0.823595647499917,0.396423321901029,0.994776396558575,0.0107979158234893,0.0540098407119617,0.00258021332697443
0.1,3,10,200,0.821693656520862,0.4130164951821,0.994236018196414,0.0126675996956909,0.0437165216432906,0.00234999406418891
0.1,4,10,200,0.819403744173562,0.400269475747183,0.992794901111733,0.00982264296146311,0.0338320425275993,0.00246833067533202
0.1,5,10,200,0.822448109490425,0.391278784909358,0.993155099293713,0.0097770055906738,0.0313542324512211,0.00163848834169285
0.1,1,10,250,0.825781463880726,0.328654254450433,0.997298108189197,0.00998545019251744,0.0499945257387376,0.00201465729456769
0.1,2,10,250,0.823794075085303,0.40026130981545,0.994055838016234,0.0116117968528291,0.0537068137095303,0.00186889250526607
0.1,3,10,250,0.822873832240673,0.411734443900049,0.993335279473893,0.0118126577479959,0.0323384867071941,0.00274836351406357
0.1,4,10,250,0.817359739953232,0.404107463661604,0.98973329765409,0.0096847083291705,0.0325335219255314,0.00358136041972372
0.1,5,10,250,0.821115445409763,0.395141270618978,0.991353946205431,0.010194370219768,0.0276208551830763,0.00163920324414804
