"sigma","C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
0.0245801827107791,0.25,0.788527679778232,0.329062551037073,0.981028373107581,0.0187700038691836,0.0378717944569139,0.00721391988902573
0.0245801827107791,0.5,0.788508196752821,0.324386194131417,0.981568697410282,0.0187881505935346,0.0369378225043667,0.00670050334135843
0.0245801827107791,1,0.788383583433404,0.320956502803637,0.981928895592262,0.0188642918591014,0.0354144541491106,0.00672398479347339
0.0245801827107791,2,0.787041433758341,0.28132995808155,0.986251165657106,0.0193124144116663,0.0337799404878876,0.00493806529638863
0.0245801827107791,4,0.784723664045099,0.249765909956993,0.988953273705749,0.0193588358062604,0.0340840127857208,0.00400398308660972
0.0245801827107791,8,0.779208651961064,0.224606674288203,0.99045391025589,0.0198508522191585,0.0352220644494523,0.00417985238455051
0.0245801827107791,16,0.768060720400381,0.191346834340465,0.991594402683512,0.021609575310437,0.0351279324539537,0.00277963022124142
0.0245801827107791,32,0.752765979331534,0.146616582285372,0.993275543770593,0.0215447771041941,0.0288893483404442,0.0020676407290197
0.0245801827107791,64,0.735584808870424,0.110397953073112,0.994296564791614,0.0204270026581079,0.023089069431701,0.00269380248694895
0.0347041088175907,0.25,0.786301102513816,0.318400566171267,0.980788078807881,0.0190671415934833,0.0375568137433754,0.00650635842605361
0.0347041088175907,0.5,0.786336805134182,0.317965049812184,0.981268505228901,0.0190587919138702,0.040147137713984,0.00639410229993287
0.0347041088175907,1,0.785934756198362,0.293693178725026,0.984210204804264,0.0193841826264333,0.0363147193105872,0.00468871094584231
0.0347041088175907,2,0.78363922716543,0.259154009472481,0.986912204733987,0.019452796839359,0.0376321931912883,0.00466321105220764
0.0347041088175907,4,0.778939519517498,0.227189830693015,0.99027394631355,0.0199830065210537,0.0317297590245393,0.00353959535105749
0.0347041088175907,8,0.768567746163761,0.194354619195384,0.990874276616851,0.0212820013125634,0.0273084009699186,0.00364693594862057
0.0347041088175907,16,0.753275719022392,0.151723011595623,0.992315231523152,0.020873748139624,0.0288050689234831,0.00292547195743239
0.0347041088175907,32,0.734703520815333,0.109559584081877,0.993996156372394,0.0198143921063691,0.0272682897634598,0.00315107013347502
0.0347041088175907,64,0.721715604012187,0.0914835613512733,0.993280388329893,0.0203516067216506,0.0244321276000178,0.00480396305572893
0.0544570796926669,0.25,0.782033334204615,0.297531166639447,0.981808775472142,0.0200171831715325,0.0301417940196099,0.00556099014677938
0.0544570796926669,0.5,0.78199297964985,0.297912243453645,0.981268667407281,0.0200211944172753,0.0403374234923648,0.00528314932277598
0.0544570796926669,1,0.781100434661323,0.255302411671838,0.985831502069126,0.0204228698277819,0.0297849366243995,0.0045960962984016
0.0544570796926669,2,0.777436665066103,0.224612118242692,0.988412787224668,0.0208377647642403,0.0344304890313459,0.00366316666967046
0.0544570796926669,4,0.767615117372007,0.189223692089934,0.990754210556191,0.0206662690682892,0.0291582896421542,0.0034948490491379
0.0544570796926669,8,0.752225660182714,0.145353584844031,0.991534666980212,0.0198685536423701,0.0232511143022026,0.00313462896919142
0.0544570796926669,16,0.734881012404819,0.112523817300887,0.992255063344172,0.0201670805025032,0.0232575891059797,0.00493059923141193
0.0544570796926669,32,0.725833611486757,0.100293345393786,0.992033111835092,0.019564027998472,0.0262629699975995,0.00447084514119636
0.0544570796926669,64,0.725238912373301,0.100182372475366,0.992375291583212,0.0184139835288354,0.0220057990159062,0.00427701879972137
