n_estimators,max_depth,min_samples_split,class_weight,ROC_AUC,Balanced_Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1,TN,FP,FN,TP
400,5.0,2,balanced,0.8143056816380639,0.5733331892390381,0.14399363564041368,0.9504373177842566,0.9141414141414141,0.23252496433666192,0.24879725085910653,0.37363896848137534,181,17,1076,326
400,10.0,5,balanced_subsample,0.8142876698511505,0.7872591824089684,0.4152046783625731,0.9554848966613673,0.7171717171717171,0.8573466476462197,0.5259259259259259,0.9037593984962407,142,56,200,1202
100,,5,,0.8142570498133977,0.7408716263923112,0.6303030303030303,0.9344947735191638,0.5252525252525253,0.956490727532097,0.5730027548209367,0.9453648219950652,104,94,61,1341
400,5.0,5,balanced,0.814240839205176,0.5733331892390381,0.14399363564041368,0.9504373177842566,0.9141414141414141,0.23252496433666192,0.24879725085910653,0.37363896848137534,181,17,1076,326
100,,5,balanced,0.8142246285969538,0.7390596406288275,0.6358024691358025,0.9339360222531293,0.5202020202020202,0.9579172610556348,0.5722222222222222,0.9457746478873239,103,95,59,1343
100,,5,balanced_subsample,0.8140499142638943,0.7379609216271128,0.6496815286624203,0.9334719334719335,0.5151515151515151,0.9607703281027105,0.5746478873239437,0.9469244288224956,102,96,55,1347
200,10.0,2,balanced,0.8139490482571794,0.7886280782143835,0.43478260869565216,0.9546165884194053,0.7070707070707071,0.8701854493580599,0.5384615384615384,0.9104477611940298,140,58,182,1220
400,,2,balanced,0.8136554561304917,0.6988681393103646,0.780952380952381,0.9224080267558529,0.41414141414141414,0.9835948644793152,0.5412541254125413,0.9520193303417328,82,116,23,1379
400,,5,balanced,0.8136284384501218,0.7361201170045678,0.684931506849315,0.9325997248968363,0.5050505050505051,0.9671897289586305,0.5813953488372093,0.9495798319327731,100,98,46,1356
400,10.0,2,balanced,0.8134158993645442,0.7814377728785717,0.4233128834355828,0.9529042386185244,0.696969696969697,0.8659058487874465,0.5267175572519084,0.9073243647234679,138,60,188,1214
200,,5,balanced_subsample,0.8132285767806452,0.7404573552933039,0.68,0.9337931034482758,0.5151515151515151,0.9657631954350927,0.5862068965517241,0.9495091164095372,102,96,48,1354
400,,5,balanced_subsample,0.8130448565541291,0.729970892952348,0.697841726618705,0.9308692676249144,0.4898989898989899,0.9700427960057061,0.5756676557863502,0.9500523925951799,97,101,42,1360
400,5.0,5,,0.8127566679635153,0.5941764290551736,0.8837209302325582,0.8972382787411689,0.1919191919191919,0.9964336661911555,0.3153526970954357,0.9442379182156134,38,160,5,1397
100,10.0,5,,0.8124828888024322,0.7183857116096773,0.7398373983739838,0.9275558564658091,0.4595959595959596,0.9771754636233951,0.5669781931464174,0.9517193469954845,91,107,32,1370
400,5.0,2,,0.8124612746581362,0.5967016815804262,0.8863636363636364,0.8978149100257069,0.19696969696969696,0.9964336661911555,0.32231404958677684,0.9445571331981069,39,159,5,1397
200,10.0,5,balanced_subsample,0.8119569446245622,0.7850905632646004,0.4147058823529412,0.9547619047619048,0.7121212121212122,0.8580599144079886,0.5241635687732342,0.903831705484598,141,57,199,1203
100,5.0,2,balanced,0.8118740904047609,0.5766005273851208,0.14477848101265822,0.9553571428571429,0.9242424242424242,0.2289586305278174,0.2503419972640219,0.3693901035673188,183,15,1081,321
400,,5,,0.8117011772503926,0.742953788959495,0.7132867132867133,0.9341111873713109,0.5151515151515151,0.9707560627674751,0.5982404692082112,0.9520811472542847,102,96,41,1361
100,10.0,2,,0.8115282640960244,0.7267035548062653,0.7196969696969697,0.9298365122615804,0.4797979797979798,0.9736091298145506,0.5757575757575758,0.9512195121951219,95,103,37,1365
100,5.0,5,balanced,0.8109194656983529,0.5719066557155003,0.14353687549563837,0.9498525073746312,0.9141414141414141,0.2296718972895863,0.2481151473612063,0.36990235496840895,181,17,1080,322
100,5.0,2,balanced_subsample,0.8107429501866021,0.5711933889537313,0.14330958036421218,0.9495548961424333,0.9141414141414141,0.2282453637660485,0.24777549623545517,0.3680276020701553,181,17,1082,320
200,,2,balanced_subsample,0.8106510900733439,0.6830033573970806,0.7524752475247525,0.9186124082721815,0.3838383838383838,0.9821683309557775,0.5083612040133779,0.9493278179937953,76,122,25,1377
200,10.0,2,,0.8106492888946526,0.7194556117523307,0.7583333333333333,0.9277027027027027,0.4595959595959596,0.9793152639087018,0.5723270440251572,0.9528105482303956,91,107,29,1373
400,,2,balanced_subsample,0.810640283001196,0.6934610008789752,0.7692307692307693,0.9211229946524064,0.40404040404040403,0.9828815977175464,0.5298013245033113,0.9510006901311249,80,118,24,1378
