"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
0.1,1,10,50,0.824516087584764,1,0.016609505144537,0.0249860845288606,0,0.0106851458549962
0.1,2,10,50,0.824758296055515,0.998379189270278,0.124024171157929,0.0233776660106647,0.00117400953365794,0.0223532332016429
0.1,3,10,50,0.822582110092043,0.998379189270278,0.176457618814307,0.0242105461195724,0.00161112756632918,0.0145400141549267
0.1,4,10,50,0.822476018557402,0.998019153266678,0.218732647395068,0.0213534687760605,0.00173148448828404,0.0353529134974981
0.1,5,10,50,0.825021273824484,0.998199333446858,0.250645108606892,0.0237026186246269,0.00142303922958781,0.0254494803007674
0.1,1,10,100,0.830251813301886,0.998919405454059,0.107414666013392,0.0250692571905245,0.000753408823970811,0.0232680053636192
0.1,2,10,100,0.828522715497711,0.997839135264878,0.294087865425445,0.0232096656568963,0.00207219830657548,0.034136908229131
0.1,3,10,100,0.826631555832067,0.996578360538757,0.341466601339213,0.023627960389019,0.00184400291240803,0.0255939014501282
0.1,4,10,100,0.825268724774937,0.996758216362177,0.369565572431814,0.0243517364808511,0.00163516250097712,0.0152514379221615
0.1,5,10,100,0.824334980388143,0.995317099277495,0.377184386738527,0.0261735441600929,0.00195237882173628,0.0377280185932403
0.1,1,10,150,0.831475526063405,0.998379351448658,0.196970439327127,0.0243092951258583,0.00173131569646297,0.0301439648843606
0.1,2,10,150,0.827787804549487,0.997298919081097,0.381104033970276,0.021657704427644,0.00229462951200512,0.0347614611715562
0.1,3,10,150,0.824273115150015,0.994957063273895,0.402858076106484,0.022390670403121,0.0020719000538568,0.0256359279284905
0.1,4,10,150,0.82718025893059,0.995317423634255,0.404091131798138,0.0232904130799028,0.00214837599596463,0.0327652223346394
0.1,5,10,150,0.822998169833006,0.994236342553174,0.4130164951821,0.0226521844254971,0.00102686907631063,0.0208184940392886
0.1,1,10,200,0.831467757608421,0.997659117263078,0.289057651478034,0.0246667758984536,0.00163460374829745,0.0235982111147785
0.1,2,10,200,0.827623604144384,0.995857964174796,0.415637759268333,0.0208811277400717,0.00302617844261621,0.0306384137177095
0.1,3,10,200,0.823421178830146,0.993516108367594,0.411807937285644,0.0204579630567553,0.00272957511829938,0.0195429317603807
0.1,4,10,200,0.827046664112629,0.994236504731554,0.410493222276662,0.0244687141868936,0.00186713354765504,0.0352446334131028
0.1,5,10,200,0.819583539130427,0.992975405648673,0.422015351951658,0.022194031839338,0.00133680275205429,0.0156565637186682
0.1,1,10,250,0.830665575039038,0.996758540718937,0.351690347868692,0.024408133750017,0.00163417972494548,0.0231519394235012
0.1,2,10,250,0.826657509905287,0.994957225452275,0.437359137677609,0.0201768346118822,0.00328342153279927,0.0305687976072576
0.1,3,10,250,0.820989793604412,0.992795549825253,0.404107463661604,0.0204772747741695,0.00262426278482753,0.0231343814877119
0.1,4,10,250,0.826253680752955,0.993335766009033,0.402858076106484,0.0254345942874255,0.00102612348151167,0.0356944449394383
0.1,5,10,250,0.818549431283555,0.990814216556791,0.423281071370243,0.0228032672895774,0.00173220697969159,0.0166912423656308
